workbook_row,workbook_title,workbook_section,source_url,status_code,final_url,page_title,h1,meta_description,canonical_url,wordpress_api_url,modified_time,main_text_characters,heading_count,link_count,image_count,testimonial_count,form_count,content_excerpt,suggested_drupal_page,suggested_drupal_url,suggested_page_type,match_score,error
14,Getting Started,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/getting-started/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/getting-started/,Getting Started - D'Aniello Institute for Veterans and Military Families,Getting Started,,https://ivmf.syracuse.edu/programs/entrepreneurship/getting-started/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/266,2024-05-22T12:20:38+00:00,7208,18,16,1,1,0,"Arm Yourself for Entrepreneurship Success The Institute for Veterans and Military Families at Syracuse University is committed to supporting veterans and their families as they navigate their entrepreneurial journey. For more than a decade, the IVMF has served over 200,000 veterans and we are just getting started. Arm yourself for entrepreneurship success with the IVMF’s arsenal of programs. Please select the button below to filter the list to display the various programs related to each phase of entrepreneurship Phases of Entrepreneurship All Ideation Start Up Growth Bunker Labs Programs Resources and Initiatives All Ideation Start Up Growth Bunker Labs Programs Resources and Initiatives For: Transitioning Service Members & Spouses Boots to Business For those interested in exploring business ownership or other self-employment opportunities by leading them through the key steps for evaluating business concepts and providing foundational knowledge required to develop a business plan. Le",V-Start,https://ivmf.syracuse.edu/research-evaluation-and-cii/dashboards/v-start/,Standard,0.545,
15,Ideation,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/,Ideation - D'Aniello Institute for Veterans and Military Families,Ideation,,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/267,2025-07-17T16:12:13+00:00,1558,4,2,1,1,0,"Entrepreneurship Portfolio: Ideation Looking to start your entrepreneurship journey but not sure where to begin? Have the idea formulating in your head but don’t know how to turn that idea into a business. Welcome to the Ideation portion of our Entrepreneurship portfolio. We have tailored the below programs for people like you who are just getting started. Programs Boots to Business For those interested in exploring business ownership or other self-employment opportunities. Learn More STRIVE The Startup Training Resources to Inspire Veteran Entrepreneurship (STRIVE) program is part of a landmark initiative that transforms veterans and military family members into entrepreneurs. Learn more “Perhaps not a quote, but a general philosophy: for each military assignment you had to walk into a new role, new environment, take on new challenges and reach new summits. Transitioning to the civilian world is no different. Use your hard-earned skills of research, reconnaissance and observation and ",Ideation,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/,Hub/Directory,1.000,
16,Boots to Business,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/boots-to-business/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/boots-to-business/,Boots to Business - D'Aniello Institute for Veterans and Military Families,Boots to Business,,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/boots-to-business/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/268,2026-02-02T20:00:51+00:00,1932,9,8,3,0,0,"Interested in Business Ownership or Other Self-Employment Opportunities? The Boots to Business curriculum leads participants through the key steps for evaluating business concepts and provides the foundational knowledge required to develop a business plan. What You Will Experience Assistance in exploring business ownership or other self-employment opportunities Instruction on business basics and techniques for evaluating the feasibility of participant’s business concepts and foundational knowledge required to develop an actionable business plan Introduction to SBA resources available to access start-up capital, technical assistance and contracting opportunities Connection to resources in participant’s local communities Eligibility For Boots to Business Introduction to Entrepreneurship – 2-day course: Open to service members, including members of the National Guard and Reserves, and their spouses. No Cost The U.S. Small Business Administration (SBA) is the government sponsor of the Boot",Boots to Business,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/boots-to-business/,Program,1.000,
17,STRIVE,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/,Startup Training Resources to Inspire Veteran Entrepreneurship (STRIVE) - D'Aniello Institute for Veterans and Military Families,Startup Training Resources to Inspire Veteran Entrepreneurship (STRIVE),,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/71553,2026-07-06T17:57:57+00:00,4305,4,23,3,0,0,"About STRIVE The Startup Training Resources to Inspire Veteran Entrepreneurship (STRIVE) program is part of a landmark initiative that transforms veterans and military family members into entrepreneurs. Delivered by the IVMF, STRIVE leverages networks and education resources in local communities to support and advance veteran owned businesses. STRIVE is a local three-phase program for veterans with a budding business by developing their competencies in creating and sustaining an entrepreneurial venture. The program helps to identify, overcome and mitigate challenges for the new venture to pave the way for veteran business ownership success. It empowers veterans, military members and their families to live the American dream. Read about how Army veteran Bryant Coronada learned how to grow his Maps Flowers business with STRIVE ! Eligibility A complete application package will include the following: Completed STRIVE Application – including responses to personal statement (5 questions) Rés",Strive,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/,Program,1.000,
18,Start Up,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/,Start Up - D'Aniello Institute for Veterans and Military Families,Start Up,,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/270,2025-07-22T14:52:59+00:00,1161,7,5,0,0,0,"Entrepreneurship Portfolio: Start up These programs are for those in the early stages of their business. They are just getting started on their entrepreneurship journey or are still very new to the business world. Programs V-WISE A women-focused training program in entrepreneurship and small business management that provides tools, ongoing support and business mentorship. Learn more EBV Cutting edge bootcamp training program teaching the steps and stages of business creation and business management. Learn more EBV-F Bootcamp style training program that integrates training with caregiver and family matters, positioning participants to launch and grow small businesses while tending to family responsibilities. Learn more EBV - WWP This exclusive cohort, hosted in partnership with Wounded Warrior Project, will provide opportunities to meet warriors where they are at in the early stages of their entrepreneurship journey. Learn More Military Founders Lab 10-week virtual program delivers imme",Startup,https://ivmf.syracuse.edu/programs/entrepreneurship/startup/,Hub/Directory,0.933,
19,V-WISE,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/,Veteran Women Igniting the Spirit of Entrepreneurship (V-WISE) - D'Aniello Institute for Veterans and Military Families,Veteran Women Igniting the Spirit of Entrepreneurship (V-WISE),"V-WISE is A women-focused training program in entrepreneurship and small business management that provides tools, ongoing support and business mentorship to veterans, active duty service members and military spouses aspiring to become successful entrepreneurs.",https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/273,2026-03-02T15:50:57+00:00,7631,26,21,167,1,1,"V-WISE 2026 IS SOLD OUT! Fill out the interest form to receive updates when applications for V-WISE 2027 will open and be first to take the next step in your entrepreneurial journey ! Helping Emerging Women Entrepreneurs Succeed V-WISE is a two-part program, starting with a 4-week online course that teaches fundamental business skills to women serving, who have served, or serve as military spouses/partners. You’ll learn the business basics that build a strong foundation for your business, and outline a clear path that gets you from where you are to where you want to be. Upon completion of the online course, you’ll attend a three-day capstone conference in-person and meet with fellow participants. <span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span> Part Educational Program, Part Conference V-WISE is unique in that it combines the education of an entrepreneurship program with the community and netwo",V-Start,https://ivmf.syracuse.edu/research-evaluation-and-cii/dashboards/v-start/,Standard,0.462,
20,V-WISE APP,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/v-wise-application/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/,Veteran Women Igniting the Spirit of Entrepreneurship (V-WISE) - D'Aniello Institute for Veterans and Military Families,Veteran Women Igniting the Spirit of Entrepreneurship (V-WISE),"V-WISE is A women-focused training program in entrepreneurship and small business management that provides tools, ongoing support and business mentorship to veterans, active duty service members and military spouses aspiring to become successful entrepreneurs.",https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/273,2026-03-02T15:50:57+00:00,7631,26,21,167,1,1,"V-WISE 2026 IS SOLD OUT! Fill out the interest form to receive updates when applications for V-WISE 2027 will open and be first to take the next step in your entrepreneurial journey ! Helping Emerging Women Entrepreneurs Succeed V-WISE is a two-part program, starting with a 4-week online course that teaches fundamental business skills to women serving, who have served, or serve as military spouses/partners. You’ll learn the business basics that build a strong foundation for your business, and outline a clear path that gets you from where you are to where you want to be. Upon completion of the online course, you’ll attend a three-day capstone conference in-person and meet with fellow participants. <span data-mce-type=""bookmark"" style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" class=""mce_SELRES_start"">﻿</span> Part Educational Program, Part Conference V-WISE is unique in that it combines the education of an entrepreneurship program with the community and netwo",V-Cap,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/v-cap/,Program,0.533,
21,V-WISE TY,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/v-wise-application/thank-you/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/v-wise-application/thank-you/,Thank You! - D'Aniello Institute for Veterans and Military Families,Thank You!,,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/v-wise/v-wise-application/thank-you/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/76222,2022-03-10T14:53:12+00:00,426,4,4,0,0,0,"Thank you for applying to V-WISE! You don’t need to do anything further. We will review your application and be in touch. In the meantime, explore the variety of programs IVMF has to offer. CVOB Already have a business? Register it officially in our Coalition of Veteran Owned Business . Shopping Guide! Submit your business to our Military-Owned Shopping guide ! Alumni Support Check out what being IVMF alumni has to offer !",V-Start,https://ivmf.syracuse.edu/research-evaluation-and-cii/dashboards/v-start/,Standard,0.500,
22,EBV,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/,Entrepreneurship Bootcamp for Veterans (EBV) - D'Aniello Institute for Veterans and Military Families,Entrepreneurship Bootcamp for Veterans (EBV),,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/272,2026-05-05T18:27:32+00:00,6008,12,17,109,0,0,"EBV is a first-of-its-kind initiative that turns veterans into entrepreneurs! The EBV program leverages the skills, resources and infrastructure of higher education to offer cutting-edge, experiential training in entrepreneurship and small business management to post-9/11 veterans. EBV is a highly selective program with a competitive application process, which aims to bring together a broad cross-section of business owners and business types, including non-profits. About EBV The EBV opens the door to economic opportunity for veterans by developing their competencies in the many steps and activities associated with creating and sustaining an entrepreneurial venture. Founded at Syracuse University in 2007, the program has since expanded to additional universities across the U.S., including Texas A&M, UCLA, the University of Connecticut, Louisiana State University, The Florida State University, Saint Joseph’s University, University of Colorado at Colorado Springs (UCCS), and the Universit",EBV-F-WWP,https://ivmf.syracuse.edu/programs/entrepreneurship/startup/ebv-f-wwp/,Program,0.500,
23,EBV - APP,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/ebv-application/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/,Entrepreneurship Bootcamp for Veterans (EBV) - D'Aniello Institute for Veterans and Military Families,Entrepreneurship Bootcamp for Veterans (EBV),,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebv/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/272,2026-05-05T18:27:32+00:00,6008,12,17,109,0,0,"EBV is a first-of-its-kind initiative that turns veterans into entrepreneurs! The EBV program leverages the skills, resources and infrastructure of higher education to offer cutting-edge, experiential training in entrepreneurship and small business management to post-9/11 veterans. EBV is a highly selective program with a competitive application process, which aims to bring together a broad cross-section of business owners and business types, including non-profits. About EBV The EBV opens the door to economic opportunity for veterans by developing their competencies in the many steps and activities associated with creating and sustaining an entrepreneurial venture. Founded at Syracuse University in 2007, the program has since expanded to additional universities across the U.S., including Texas A&M, UCLA, the University of Connecticut, Louisiana State University, The Florida State University, Saint Joseph’s University, University of Colorado at Colorado Springs (UCCS), and the Universit",V-Cap,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/v-cap/,Program,0.667,
24,EBV-F,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/,Entrepreneurship Bootcamp for Veterans’ Families - D'Aniello Institute for Veterans and Military Families,Entrepreneurship Bootcamp for Veterans’ Families,,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/60230,2026-05-01T18:14:45+00:00,2989,11,14,15,1,0,"The Entrepreneurship Bootcamp for Veterans’ Families (EBV-F) program offers small business training and a vocational, economic path forward for military spouses and family members, or a surviving spouse of a military member who gave his or her life in service to our country. EBV-F offers training tailored to military family members with caregiving responsibilities to launch and grow small businesses from home. About EBV-F EBV-F is an education and self-employment training program founded in 2010, designed to take advantage of the skills, resources and infrastructure of higher education to offer cutting-edge, experiential training in entrepreneurship and small business management. EBV-F integrates training in entrepreneurship with caregiver and family issues, positioning participants to launch and grow a small business in a way that is complementary to other family responsibilities. What You Will Experience Training focused on family issues, caregiver issues and work-life balance issues",EBV-F-WWP,https://ivmf.syracuse.edu/programs/entrepreneurship/startup/ebv-f-wwp/,Program,0.714,
25,EBV- F APP,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/ebv-f-application/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/ebv-f-application/,EBV-F Application - D'Aniello Institute for Veterans and Military Families,EBV-F Application,,https://ivmf.syracuse.edu/programs/entrepreneurship/start-up/ebvf/ebv-f-application/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/75551,2022-12-06T16:30:16+00:00,214,0,0,0,0,0,"Are you ready to make your entrepreneurial dreams a reality? The EBV-F program operates on a rolling admissions process, so we are always accepting applications and will process them in the order they are received.",EBV-F-WWP,https://ivmf.syracuse.edu/programs/entrepreneurship/startup/ebv-f-wwp/,Program,0.778,
26,EBV - WWP,Entreprenuership,https://ivmf.syracuse.edu/ebv-wwp/,200,https://ivmf.syracuse.edu/ebv-wwp/,Entrepreneurship Bootcamp for Veterans (EBV) - D'Aniello Institute for Veterans and Military Families,Entrepreneurship Bootcamp for Veterans (EBV),,https://ivmf.syracuse.edu/ebv-wwp/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/80930,2026-06-01T19:44:49+00:00,2878,12,6,5,0,0,"EBV is a first-of-its-kind initiative that turns veterans into entrepreneurs! The EBV program leverages the skills, resources and infrastructure of higher education to offer cutting-edge, experiential training in entrepreneurship and small business management to post-9/11 veterans. About EBV The EBV, founded at Syracuse University in 2007, opens the door to economic opportunity for veterans by developing their competencies in the many steps and activities associated with creating and sustaining an entrepreneurial venture. This exclusive cohort, hosted in partnership with Wounded Warrior Project, will provide opportunities to meet warriors where they are at in the early stages of their entrepreneurship journey. This program is powered in part by Wounded Warrior Project to honor and empower post-9/11 injured service members, veterans, and their families. What You Will Experience World class entrepreneurship training with fellow veterans (or family members) Lifelong mentors and friends es",EBV-F-WWP,https://ivmf.syracuse.edu/programs/entrepreneurship/startup/ebv-f-wwp/,Program,0.875,
27,Growth,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/growth/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/growth/,Growth - D'Aniello Institute for Veterans and Military Families,Growth,,https://ivmf.syracuse.edu/programs/entrepreneurship/growth/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/271,2025-05-19T20:02:55+00:00,871,5,3,0,0,0,"Entrepreneurship Portfolio: Growth These programs are for those that have been in business for three or more years and are ready to take their business to the next level. Programs Veteran EDGE Veteran EDGE (Engage. Develop. Grow. Elevate.) is a four-day conference dedicated solely to veteran and military spouse business owners and the ecosystem that supports them. Learn more EBV Accelerate Accelerate is a bootcamp-style program focused on growth and tackles head-on topics such as the financial, management, marketing and strategic planning challenges established businesses face. Learn more CEOcircle CEOcircle is a monthly peer accountability group for growth-stage companies looking to scale. Over the course of nine virtual huddles and four in person fly-in forum events, CEOs and executives can ask critical questions impacting their businesses today. Learn More",Growth,https://ivmf.syracuse.edu/programs/entrepreneurship/growth/,Program,1.000,
